tool,formula,variables,formula_id,output,time
NUSMV_v260,((G(((s) | (!q)))) & (G(((p) | (G(!s))))) & (G(((!p) | (F(q))))) & (((F(((p) & (G(!q))))) | (G(F(((r) & (F(s))))))))),#r#s#p#q,46,SAT,0.03
all,(X((p0&Fp1)|F(p0&Xp2))&G(!p2|Fp3)&G(p1|!p3)&G(p2|G!p1)),#r#s#p#q,47,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((p) || ([](!s))))) && ([](((!p) || (<>(q))))) && (X(((((r) && (<>(s)))) || (<>(((r) && (X(p))))))))),#r#s#p#q,47,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((p) | (G(!s))))) & (G(((!p) | (F(q))))) & (X(((((r) & (F(s)))) | (F(((r) & (X(p))))))))),#r#s#p#q,47,SAT,0.03
all,(G(!p2|Fp3)&(X(p2&G!p3)U((p2&G!p1)|F(p0&Fp1)))&G(p1|!p3)&G(p2|G!p1)),#r#s#p#q,48,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((p) || ([](!s))))) && ([](((!p) || (<>(q))))) && (((X(((p) && ([](!q))))) U (((((p) && ([](!s)))) || (<>(((r) && (<>(s)))))))))),#r#s#p#q,48,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((p) | (G(!s))))) & (G(((!p) | (F(q))))) & (((X(((p) & (G(!q))))) U (((((p) & (G(!s)))) | (F(((r) & (F(s)))))))))),#r#s#p#q,48,SAT,0.03
all,(G(!p2|Fp3)&X((p2&G!p1)|(GFp1&Gp0))&G(p1|!p3)&G(p2|G!p1)),#r#s#p#q,49,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((p) || ([](!s))))) && ([](((!p) || (<>(q))))) && (X(((((p) && ([](!s)))) || ((([](r)) && ([](<>(s))))))))),#r#s#p#q,49,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((p) | (G(!s))))) & (G(((!p) | (F(q))))) & (X(((((p) & (G(!s)))) | (((G(r)) & (G(F(s))))))))),#r#s#p#q,49,SAT,0.03
all,(G(!p2|Fp3)&G(p1|!p3)&G(p2|G!p1)&(F(p2&Gp0)|FG((p0&Fp1)|F(p0&Xp2)))),#r#s#p#q,50,DIFF,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((p) || ([](!s))))) && ([](((!p) || (<>(q))))) && (((<>(((p) && ([](r))))) || (<>([](((((r) && (<>(s)))) || (<>(((r) && (X(p)))))))))))),#r#s#p#q,50,TIMEOUT,300.0
NUSMV_v260,((G(((s) | (!q)))) & (G(((p) | (G(!s))))) & (G(((!p) | (F(q))))) & (((F(((p) & (G(r))))) | (F(G(((((r) & (F(s)))) | (F(((r) & (X(p)))))))))))),#r#s#p#q,50,SAT,0.03
all,(G(!p2|Fp3)&(F(p0&p2)|(p0&FGp1&Fp1))&G(p1|!p3)&G(p2|G!p1)),#r#s#p#q,51,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((p) || ([](!s))))) && ([](((!p) || (<>(q))))) && (((<>(((r) && (p)))) || (((r) && (<>(s)) && (<>([](s)))))))),#r#s#p#q,51,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((p) | (G(!s))))) & (G(((!p) | (F(q))))) & (((F(((r) & (p)))) | (((r) & (F(s)) & (F(G(s)))))))),#r#s#p#q,51,SAT,0.03
all,(G(!p2|Fp3)&G(p1|!p3)&(F(Fp2&p0)WXF(p0&Fp1))&G(p2|G!p1)),#r#s#p#q,52,DIFF,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((p) || ([](!s))))) && ([](((!p) || (<>(q))))) && ((([](<>(((r) && (<>(p)))))) || (((<>(((r) && (<>(p))))) U (X(<>(((r) && (<>(s))))))))))),#r#s#p#q,52,TIMEOUT,300.0
NUSMV_v260,((G(((s) | (!q)))) & (G(((p) | (G(!s))))) & (G(((!p) | (F(q))))) & (((G(F(((r) & (F(p)))))) | (((F(((r) & (F(p))))) U (X(F(((r) & (F(s))))))))))),#r#s#p#q,52,SAT,0.03
all,(G(!p2|Fp3)&(F(p0&p2)|(p0&F!p1&Fp1))&G(p1|!p3)&G(p2|G!p1)),#r#s#p#q,53,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && (((((r) && (<>(s)) && (<>(!s)))) || (<>(((r) && (p)))))) && ([](((p) || ([](!s))))) && ([](((!p) || (<>(q)))))),#r#s#p#q,53,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (((((r) & (F(s)) & (F(!s)))) | (F(((r) & (p)))))) & (G(((p) | (G(!s))))) & (G(((!p) | (F(q)))))),#r#s#p#q,53,SAT,0.03
all,(G(!p2|Fp3)&(((p0&Xp1)W(G!p3&G(p2|G!p3)&p2))WGF(p0&p2))&G(p1|!p3)&G(p2|G!p1)),#r#s#p#q,54,DIFF,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((p) || ([](!s))))) && ([](((!p) || (<>(q))))) && ((([]((((([](r)) && ([](X(s))))) || (((((r) && (X(s)))) U (((p) && ([](!q)) && ([](((p) || ([](!q)))))))))))) || ((((((([](r)) && ([](X(s))))) || (((((r) && (X(s)))) U (((p) && ([](!q)) && ([](((p) || ([](!q))))))))))) U ([](<>(((r) && (p)))))))))),#r#s#p#q,54,TIMEOUT,300.0
NUSMV_v260,((G(((s) | (!q)))) & (G(((p) | (G(!s))))) & (G(((!p) | (F(q))))) & (((G(((((G(r)) & (G(X(s))))) | (((((r) & (X(s)))) U (((p) & (G(!q)) & (G(((p) | (G(!q)))))))))))) | (((((((G(r)) & (G(X(s))))) | (((((r) & (X(s)))) U (((p) & (G(!q)) & (G(((p) | (G(!q))))))))))) U (G(F(((r) & (p)))))))))),#r#s#p#q,54,SAT,0.04
all,(G(!p2|Fp3)&(F(p0&p1)|F(p0&p2))&G(p1|!p3)&G(p2|G!p1)),#r#s#p#q,55,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && (((<>(((r) && (s)))) || (<>(((r) && (p)))))) && ([](((p) || ([](!s))))) && ([](((!p) || (<>(q)))))),#r#s#p#q,55,UNSAT,0.04
NUSMV_v260,((G(((s) | (!q)))) & (((F(((r) & (s)))) | (F(((r) & (p)))))) & (G(((p) | (G(!s))))) & (G(((!p) | (F(q)))))),#r#s#p#q,55,SAT,0.03
all,((F(p0&Fp3)|F(p2&G!p3))&G(!p2|Fp3)&G(p1|!p3)&G(p2|G!p1)),#r#s#p#q,56,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((p) || ([](!s))))) && ([](((!p) || (<>(q))))) && (((<>(((r) && (<>(q))))) || (<>(((p) && ([](!q)))))))),#r#s#p#q,56,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((p) | (G(!s))))) & (G(((!p) | (F(q))))) & (((F(((r) & (F(q))))) | (F(((p) & (G(!q)))))))),#r#s#p#q,56,SAT,0.03
all,(G(!p2|Fp3)&G(p1|!p3)&G(p2|G!p1)&(X(p2&G!p3)|F(p0&Fp1))),#r#s#p#q,57,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((p) || ([](!s))))) && ([](((!p) || (<>(q))))) && (((<>(((r) && (<>(s))))) || (X(((p) && ([](!q)))))))),#r#s#p#q,57,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((p) | (G(!s))))) & (G(((!p) | (F(q))))) & (((F(((r) & (F(s))))) | (X(((p) & (G(!q)))))))),#r#s#p#q,57,SAT,0.03
all,(G(!p2|Fp3)&(F(p0&Fp1)|(p2&G!p3))&G(p1|!p3)&G(p2|G!p1)),#r#s#p#q,58,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((p) || ([](!s))))) && ([](((!p) || (<>(q))))) && (((((p) && ([](!q)))) || (<>(((r) && (<>(s)))))))),#r#s#p#q,58,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((p) | (G(!s))))) & (G(((!p) | (F(q))))) & (((((p) & (G(!q)))) | (F(((r) & (F(s)))))))),#r#s#p#q,58,SAT,0.03
all,(G(!p2|Fp3)&((p0&Fp1)|F(p2&G!p3))&G(p1|!p3)&G(p2|G!p1)),#r#s#p#q,59,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((p) || ([](!s))))) && ([](((!p) || (<>(q))))) && (((((r) && (<>(s)))) || (<>(((p) && ([](!q)))))))),#r#s#p#q,59,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((p) | (G(!s))))) & (G(((!p) | (F(q))))) & (((((r) & (F(s)))) | (F(((p) & (G(!q)))))))),#r#s#p#q,59,SAT,0.03
all,G(p1|!p3),#r#s#p#q,60,SAT,no-time
SPIN_v651,[](((s) || (!q))),#r#s#p#q,60,SAT,0.03
NUSMV_v260,G(((s) | (!q))),#r#s#p#q,60,SAT,0.03
all,(G(!p2|Fp3)&G(!p0|(G!p1&X(G!p1U!p2))|!p2)),#r#s#p#q,61,SAT,no-time
SPIN_v651,(([](((!p) || (<>(q))))) && ([](((!r) || (!p) || ((([](!s)) && (X((([](!s)) U (!p)))))))))),#r#s#p#q,61,SAT,0.03
NUSMV_v260,((G(((!p) | (F(q))))) & (G(((!r) | (!p) | (((G(!s)) & (X(((G(!s)) U (!p)))))))))),#r#s#p#q,61,SAT,0.03
all,(G(!p2|Fp3)&G(!p0|(G!p1&X(G!p1U!p2))|!p2)&G(p1|!p3)),#r#s#p#q,62,SAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || (!p) || ((([](!s)) && (X((([](!s)) U (!p)))))))))),#r#s#p#q,62,SAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (!p) | (((G(!s)) & (X(((G(!s)) U (!p)))))))))),#r#s#p#q,62,SAT,0.03
all,(G(!p2|Fp3)&G(!p0|(G!p1U!p2))&G(p1|!p3)&((Fp2&p0)|GF(p0&Fp1))),#r#s#p#q,63,DIFF,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || ((([](!s)) U (!p)))))) && (((((r) && (<>(p)))) || ([](<>(((r) && (<>(s))))))))),#r#s#p#q,63,TIMEOUT,300.0
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (((G(!s)) U (!p)))))) & (((((r) & (F(p)))) | (G(F(((r) & (F(s))))))))),#r#s#p#q,63,SAT,0.03
all,(G(!p2|Fp3)&G(!p0|(G!p1U!p2))&G(p1|!p3)&((p0&Fp1)|F(p0&Xp2))),#r#s#p#q,64,SAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((((r) && (<>(s)))) || (<>(((r) && (X(p))))))) && ([](((!r) || ((([](!s)) U (!p))))))),#r#s#p#q,64,SAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((((r) & (F(s)))) | (F(((r) & (X(p))))))) & (G(((!r) | (((G(!s)) U (!p))))))),#r#s#p#q,64,SAT,0.03
all,(G(!p2|Fp3)&G(!p0|(G!p1U!p2))&G(p1|!p3)&(F(p0&Fp1)WF(p2&G!p3))),#r#s#p#q,65,DIFF,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || ((([](!s)) U (!p)))))) && (((<>(((p) && ([](!q))))) || ([](<>(((r) && (<>(s))))))))),#r#s#p#q,65,TIMEOUT,300.0
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (((G(!s)) U (!p)))))) & (((F(((p) & (G(!q))))) | (G(F(((r) & (F(s))))))))),#r#s#p#q,65,SAT,0.03
all,(X((p0&Fp1)|F(p0&Xp2))&G(!p2|Fp3)&G(!p0|(G!p1U!p2))&G(p1|!p3)),#r#s#p#q,66,SAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || ((([](!s)) U (!p)))))) && (X(((((r) && (<>(s)))) || (<>(((r) && (X(p))))))))),#r#s#p#q,66,SAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (((G(!s)) U (!p)))))) & (X(((((r) & (F(s)))) | (F(((r) & (X(p))))))))),#r#s#p#q,66,SAT,0.03
all,(G(!p2|Fp3)&(X(p2&G!p3)U((p2&G!p1)|F(p0&Fp1)))&G(!p0|(G!p1U!p2))&G(p1|!p3)),#r#s#p#q,67,DIFF,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || ((([](!s)) U (!p)))))) && (((X(((p) && ([](!q))))) U (((((p) && ([](!s)))) || (<>(((r) && (<>(s)))))))))),#r#s#p#q,67,TIMEOUT,300.0
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (((G(!s)) U (!p)))))) & (((X(((p) & (G(!q))))) U (((((p) & (G(!s)))) | (F(((r) & (F(s)))))))))),#r#s#p#q,67,SAT,0.03
all,(G(!p2|Fp3)&X((p2&G!p1)|(GFp1&Gp0))&G(!p0|(G!p1U!p2))&G(p1|!p3)),#r#s#p#q,68,SAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || ((([](!s)) U (!p)))))) && (X(((((p) && ([](!s)))) || ((([](r)) && ([](<>(s))))))))),#r#s#p#q,68,SAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (((G(!s)) U (!p)))))) & (X(((((p) & (G(!s)))) | (((G(r)) & (G(F(s))))))))),#r#s#p#q,68,SAT,0.03
all,(G(!p2|Fp3)&G(!p0|(G!p1U!p2))&G(p1|!p3)&(F(p2&Gp0)|FG((p0&Fp1)|F(p0&Xp2)))),#r#s#p#q,69,DIFF,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || ((([](!s)) U (!p)))))) && (((<>(((p) && ([](r))))) || (<>([](((((r) && (<>(s)))) || (<>(((r) && (X(p)))))))))))),#r#s#p#q,69,TIMEOUT,300.0
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (((G(!s)) U (!p)))))) & (((F(((p) & (G(r))))) | (F(G(((((r) & (F(s)))) | (F(((r) & (X(p)))))))))))),#r#s#p#q,69,SAT,0.04
all,(G(!p2|Fp3)&(F(p0&p2)|(p0&FGp1&Fp1))&G(!p0|(G!p1U!p2))&G(p1|!p3)),#r#s#p#q,70,DIFF,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((<>(((r) && (p)))) || (((r) && (<>(s)) && (<>([](s))))))) && ([](((!r) || ((([](!s)) U (!p))))))),#r#s#p#q,70,TIMEOUT,300.0
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((F(((r) & (p)))) | (((r) & (F(s)) & (F(G(s))))))) & (G(((!r) | (((G(!s)) U (!p))))))),#r#s#p#q,70,SAT,0.03
all,(G(!p2|Fp3)&G(!p0|(G!p1U!p2))&(F(Fp2&p0)WXF(p0&Fp1))&G(p1|!p3)),#r#s#p#q,71,DIFF,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || ((([](!s)) U (!p)))))) && ((([](<>(((r) && (<>(p)))))) || (((<>(((r) && (<>(p))))) U (X(<>(((r) && (<>(s))))))))))),#r#s#p#q,71,TIMEOUT,300.0
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (((G(!s)) U (!p)))))) & (((G(F(((r) & (F(p)))))) | (((F(((r) & (F(p))))) U (X(F(((r) & (F(s))))))))))),#r#s#p#q,71,SAT,0.04
all,(G(!p2|Fp3)&(F(p0&p2)|(p0&F!p1&Fp1))&G(!p0|(G!p1U!p2))&G(p1|!p3)),#r#s#p#q,72,DIFF,no-time
SPIN_v651,(([](((s) || (!q)))) && (((((r) && (<>(s)) && (<>(!s)))) || (<>(((r) && (p)))))) && ([](((!p) || (<>(q))))) && ([](((!r) || ((([](!s)) U (!p))))))),#r#s#p#q,72,TIMEOUT,300.0
NUSMV_v260,((G(((s) | (!q)))) & (((((r) & (F(s)) & (F(!s)))) | (F(((r) & (p)))))) & (G(((!p) | (F(q))))) & (G(((!r) | (((G(!s)) U (!p))))))),#r#s#p#q,72,SAT,0.03
all,(G(!p2|Fp3)&(((p0&Xp1)W(G!p3&G(p2|G!p3)&p2))WGF(p0&p2))&G(!p0|(G!p1U!p2))&G(p1|!p3)),#r#s#p#q,73,DIFF,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || ((([](!s)) U (!p)))))) && ((([]((((([](r)) && ([](X(s))))) || (((((r) && (X(s)))) U (((p) && ([](!q)) && ([](((p) || ([](!q)))))))))))) || ((((((([](r)) && ([](X(s))))) || (((((r) && (X(s)))) U (((p) && ([](!q)) && ([](((p) || ([](!q))))))))))) U ([](<>(((r) && (p)))))))))),#r#s#p#q,73,TIMEOUT,300.0
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (((G(!s)) U (!p)))))) & (((G(((((G(r)) & (G(X(s))))) | (((((r) & (X(s)))) U (((p) & (G(!q)) & (G(((p) | (G(!q)))))))))))) | (((((((G(r)) & (G(X(s))))) | (((((r) & (X(s)))) U (((p) & (G(!q)) & (G(((p) | (G(!q))))))))))) U (G(F(((r) & (p)))))))))),#r#s#p#q,73,SAT,0.04
all,(G(!p2|Fp3)&(F(p0&p1)|F(p0&p2))&G(!p0|(G!p1U!p2))&G(p1|!p3)),#r#s#p#q,74,SAT,no-time
SPIN_v651,(([](((s) || (!q)))) && (((<>(((r) && (s)))) || (<>(((r) && (p)))))) && ([](((!p) || (<>(q))))) && ([](((!r) || ((([](!s)) U (!p))))))),#r#s#p#q,74,SAT,0.04
NUSMV_v260,((G(((s) | (!q)))) & (((F(((r) & (s)))) | (F(((r) & (p)))))) & (G(((!p) | (F(q))))) & (G(((!r) | (((G(!s)) U (!p))))))),#r#s#p#q,74,SAT,0.04
all,((F(p0&Fp3)|F(p2&G!p3))&G(!p2|Fp3)&G(!p0|(G!p1U!p2))&G(p1|!p3)),#r#s#p#q,75,SAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((<>(((r) && (<>(q))))) || (<>(((p) && ([](!q))))))) && ([](((!r) || ((([](!s)) U (!p))))))),#r#s#p#q,75,SAT,0.04
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((F(((r) & (F(q))))) | (F(((p) & (G(!q))))))) & (G(((!r) | (((G(!s)) U (!p))))))),#r#s#p#q,75,SAT,0.03
all,(G(!p2|Fp3)&G(!p0|(G!p1U!p2))&G(p1|!p3)&(X(p2&G!p3)|F(p0&Fp1))),#r#s#p#q,76,SAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((<>(((r) && (<>(s))))) || (X(((p) && ([](!q))))))) && ([](((!r) || ((([](!s)) U (!p))))))),#r#s#p#q,76,SAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((F(((r) & (F(s))))) | (X(((p) & (G(!q))))))) & (G(((!r) | (((G(!s)) U (!p))))))),#r#s#p#q,76,SAT,0.03
all,(G(!p2|Fp3)&(F(p0&Fp1)|(p2&G!p3))&G(!p0|(G!p1U!p2))&G(p1|!p3)),#r#s#p#q,77,SAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((((p) && ([](!q)))) || (<>(((r) && (<>(s))))))) && ([](((!r) || ((([](!s)) U (!p))))))),#r#s#p#q,77,SAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((((p) & (G(!q)))) | (F(((r) & (F(s))))))) & (G(((!r) | (((G(!s)) U (!p))))))),#r#s#p#q,77,SAT,0.04
all,(G(!p2|Fp3)&((p0&Fp1)|F(p2&G!p3))&G(!p0|(G!p1U!p2))&G(p1|!p3)),#r#s#p#q,78,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((((r) && (<>(s)))) || (<>(((p) && ([](!q))))))) && ([](((!r) || ((([](!s)) U (!p))))))),#r#s#p#q,78,UNSAT,0.04
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((((r) & (F(s)))) | (F(((p) & (G(!q))))))) & (G(((!r) | (((G(!s)) U (!p))))))),#r#s#p#q,78,SAT,0.03
all,G(p1|!p3),#r#s#p#q,79,SAT,no-time
SPIN_v651,[](((s) || (!q))),#r#s#p#q,79,SAT,0.03
NUSMV_v260,G(((s) | (!q))),#r#s#p#q,79,SAT,0.03
all,(!p3&G(!p2|Fp3)),#r#s#p#q,80,SAT,no-time
SPIN_v651,((!q) && ([](((!p) || (<>(q)))))),#r#s#p#q,80,SAT,0.03
NUSMV_v260,((!q) & (G(((!p) | (F(q)))))),#r#s#p#q,80,SAT,0.03
all,(G(!p2|Fp3)&G(p1|!p3)&!p3),#r#s#p#q,81,SAT,no-time
SPIN_v651,((!q) && ([](((s) || (!q)))) && ([](((!p) || (<>(q)))))),#r#s#p#q,81,SAT,0.03
NUSMV_v260,((!q) & (G(((s) | (!q)))) & (G(((!p) | (F(q)))))),#r#s#p#q,81,SAT,0.03
all,(G(!p2|Fp3)&G(p1|!p3)&((Fp2&p0)|GF(p0&Fp1))&!p3),#r#s#p#q,82,SAT,no-time
SPIN_v651,((!q) && ([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((((r) && (<>(p)))) || ([](<>(((r) && (<>(s))))))))),#r#s#p#q,82,SAT,0.03
NUSMV_v260,((!q) & (G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((((r) & (F(p)))) | (G(F(((r) & (F(s))))))))),#r#s#p#q,82,SAT,0.03
all,(G(!p2|Fp3)&G(p1|!p3)&((p0&Fp1)|F(p0&Xp2))&!p3),#r#s#p#q,83,SAT,no-time
SPIN_v651,((!q) && ([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((((r) && (<>(s)))) || (<>(((r) && (X(p)))))))),#r#s#p#q,83,SAT,0.03
NUSMV_v260,((!q) & (G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((((r) & (F(s)))) | (F(((r) & (X(p)))))))),#r#s#p#q,83,SAT,0.03
all,(G(!p2|Fp3)&G(p1|!p3)&!p3&(F(p0&Fp1)WF(p2&G!p3))),#r#s#p#q,84,SAT,no-time
SPIN_v651,((!q) && ([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((<>(((p) && ([](!q))))) || ([](<>(((r) && (<>(s))))))))),#r#s#p#q,84,SAT,0.03
NUSMV_v260,((!q) & (G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((F(((p) & (G(!q))))) | (G(F(((r) & (F(s))))))))),#r#s#p#q,84,SAT,0.03
all,(X((p0&Fp1)|F(p0&Xp2))&G(!p2|Fp3)&G(p1|!p3)&!p3),#r#s#p#q,85,SAT,no-time
SPIN_v651,((!q) && ([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (X(((((r) && (<>(s)))) || (<>(((r) && (X(p))))))))),#r#s#p#q,85,SAT,0.03
NUSMV_v260,((!q) & (G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (X(((((r) & (F(s)))) | (F(((r) & (X(p))))))))),#r#s#p#q,85,SAT,0.03
all,(G(!p2|Fp3)&(X(p2&G!p3)U((p2&G!p1)|F(p0&Fp1)))&G(p1|!p3)&!p3),#r#s#p#q,86,SAT,no-time
SPIN_v651,((!q) && ([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((X(((p) && ([](!q))))) U (((((p) && ([](!s)))) || (<>(((r) && (<>(s)))))))))),#r#s#p#q,86,SAT,0.03
NUSMV_v260,((!q) & (G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((X(((p) & (G(!q))))) U (((((p) & (G(!s)))) | (F(((r) & (F(s)))))))))),#r#s#p#q,86,SAT,0.03
all,(G(!p2|Fp3)&X((p2&G!p1)|(GFp1&Gp0))&G(p1|!p3)&!p3),#r#s#p#q,87,SAT,no-time
SPIN_v651,((!q) && ([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (X(((((p) && ([](!s)))) || ((([](r)) && ([](<>(s))))))))),#r#s#p#q,87,SAT,0.03
NUSMV_v260,((!q) & (G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (X(((((p) & (G(!s)))) | (((G(r)) & (G(F(s))))))))),#r#s#p#q,87,SAT,0.03
all,(G(!p2|Fp3)&G(p1|!p3)&(F(p2&Gp0)|FG((p0&Fp1)|F(p0&Xp2)))&!p3),#r#s#p#q,88,SAT,no-time
SPIN_v651,((!q) && ([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((<>(((p) && ([](r))))) || (<>([](((((r) && (<>(s)))) || (<>(((r) && (X(p)))))))))))),#r#s#p#q,88,SAT,0.03
NUSMV_v260,((!q) & (G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((F(((p) & (G(r))))) | (F(G(((((r) & (F(s)))) | (F(((r) & (X(p)))))))))))),#r#s#p#q,88,SAT,0.03
all,(G(!p2|Fp3)&(F(p0&p2)|(p0&FGp1&Fp1))&G(p1|!p3)&!p3),#r#s#p#q,89,SAT,no-time
SPIN_v651,((!q) && ([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((<>(((r) && (p)))) || (((r) && (<>(s)) && (<>([](s)))))))),#r#s#p#q,89,SAT,0.03
NUSMV_v260,((!q) & (G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((F(((r) & (p)))) | (((r) & (F(s)) & (F(G(s)))))))),#r#s#p#q,89,SAT,0.03
all,(G(!p2|Fp3)&(F(Fp2&p0)WXF(p0&Fp1))&G(p1|!p3)&!p3),#r#s#p#q,90,SAT,no-time
SPIN_v651,((!q) && ([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ((([](<>(((r) && (<>(p)))))) || (((<>(((r) && (<>(p))))) U (X(<>(((r) && (<>(s))))))))))),#r#s#p#q,90,SAT,0.03
NUSMV_v260,((!q) & (G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((G(F(((r) & (F(p)))))) | (((F(((r) & (F(p))))) U (X(F(((r) & (F(s))))))))))),#r#s#p#q,90,SAT,0.04
all,(G(!p2|Fp3)&(F(p0&p2)|(p0&F!p1&Fp1))&G(p1|!p3)&!p3),#r#s#p#q,91,SAT,no-time
SPIN_v651,((!q) && ([](((s) || (!q)))) && (((((r) && (<>(s)) && (<>(!s)))) || (<>(((r) && (p)))))) && ([](((!p) || (<>(q)))))),#r#s#p#q,91,SAT,0.04
NUSMV_v260,((!q) & (G(((s) | (!q)))) & (((((r) & (F(s)) & (F(!s)))) | (F(((r) & (p)))))) & (G(((!p) | (F(q)))))),#r#s#p#q,91,SAT,0.03
all,(G(!p2|Fp3)&(((p0&Xp1)W(G!p3&G(p2|G!p3)&p2))WGF(p0&p2))&G(p1|!p3)&!p3),#r#s#p#q,92,DIFF,no-time
